epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,4801.5,0.5539,0.30295,1.10095,0.99982,0.99894,0.995,0.92457,0.45147,0.24556,1.11169,0.0075745,0.0075745,0.0075745
100,4849.99,0.55653,0.30284,1.10611,0.99925,0.99894,0.995,0.92467,0.44476,0.24755,1.0901,0.00754975,0.00754975,0.00754975
101,4897.75,0.54571,0.29922,1.08401,0.9974,0.99894,0.99465,0.91003,0.46019,0.25222,1.12168,0.007525,0.007525,0.007525
102,4941.65,0.55217,0.29838,1.10519,0.9991,0.99894,0.995,0.93188,0.41793,0.22504,1.06606,0.00750025,0.00750025,0.00750025
103,4986.09,0.5517,0.30155,1.10016,0.99981,0.99894,0.995,0.92463,0.43086,0.23093,1.08231,0.0074755,0.0074755,0.0074755
104,5030.02,0.54228,0.30293,1.08787,0.99884,0.99894,0.9949,0.92263,0.42921,0.22767,1.08162,0.00745075,0.00745075,0.00745075
105,5074.56,0.54651,0.30038,1.0935,0.99979,0.99894,0.995,0.92121,0.41958,0.22573,1.06748,0.007426,0.007426,0.007426
106,5118.65,0.554,0.29779,1.09491,0.99974,0.99894,0.995,0.92653,0.43682,0.23318,1.08423,0.00740125,0.00740125,0.00740125
107,5163.05,0.5517,0.29856,1.09491,0.99991,0.99894,0.995,0.933,0.42968,0.229,1.08307,0.0073765,0.0073765,0.0073765
108,5207.67,0.54603,0.29741,1.09705,0.99889,0.99894,0.995,0.91743,0.42839,0.26324,1.07586,0.00735175,0.00735175,0.00735175
109,5251.85,0.54533,0.296,1.09026,0.9986,0.99894,0.99497,0.90589,0.4442,0.27051,1.09324,0.007327,0.007327,0.007327
110,5295.99,0.54429,0.29082,1.09535,0.99986,0.99894,0.995,0.92934,0.41206,0.2279,1.06167,0.00730225,0.00730225,0.00730225
111,5340.1,0.5448,0.2949,1.09478,0.99935,0.99894,0.995,0.92101,0.42592,0.22458,1.07702,0.0072775,0.0072775,0.0072775
112,5383.77,0.55014,0.29786,1.09907,0.99883,0.99894,0.995,0.91557,0.42648,0.22532,1.0772,0.00725275,0.00725275,0.00725275
113,5428.16,0.53917,0.29188,1.09607,0.99861,0.99894,0.99497,0.92277,0.44079,0.22681,1.09476,0.007228,0.007228,0.007228
114,5475.6,0.54678,0.29386,1.09464,0.99982,0.99894,0.995,0.92625,0.41522,0.22342,1.0622,0.00720325,0.00720325,0.00720325
115,5523.88,0.53738,0.29035,1.08911,0.99976,0.99894,0.995,0.92874,0.42908,0.22389,1.07274,0.0071785,0.0071785,0.0071785
116,5571.95,0.55444,0.30394,1.0961,0.99993,0.99894,0.995,0.93114,0.42104,0.23445,1.06397,0.00715375,0.00715375,0.00715375
117,5620.36,0.54587,0.29005,1.08744,0.99987,0.99894,0.995,0.93138,0.41136,0.21789,1.05704,0.007129,0.007129,0.007129
118,5669.18,0.55166,0.2991,1.09954,0.99931,0.99894,0.995,0.92582,0.42604,0.22884,1.0785,0.00710425,0.00710425,0.00710425
119,5717.64,0.54565,0.29007,1.0965,0.99707,0.99788,0.99497,0.91755,0.4293,0.23161,1.07595,0.0070795,0.0070795,0.0070795
120,5766.09,0.52957,0.28666,1.08143,0.9999,0.99894,0.995,0.93186,0.41239,0.21866,1.05382,0.00705475,0.00705475,0.00705475
121,5814.87,0.53517,0.29193,1.07856,0.99871,0.99894,0.995,0.93005,0.40732,0.2175,1.05058,0.00703,0.00703,0.00703
122,5864.2,0.53575,0.29502,1.09265,0.9986,0.99894,0.995,0.92094,0.41681,0.22145,1.06509,0.00700525,0.00700525,0.00700525
123,5912.86,0.53306,0.28488,1.07704,0.99862,0.99894,0.995,0.9302,0.42535,0.21716,1.0728,0.0069805,0.0069805,0.0069805
124,5962.02,0.52838,0.28851,1.06675,0.99907,0.99894,0.995,0.93063,0.41067,0.22798,1.05639,0.00695575,0.00695575,0.00695575
125,6011.38,0.52552,0.28677,1.07177,0.99955,0.99894,0.995,0.91716,0.42057,0.22702,1.07,0.006931,0.006931,0.006931
126,6060.7,0.53182,0.28628,1.08379,0.9999,0.99894,0.995,0.92774,0.41906,0.22047,1.06094,0.00690625,0.00690625,0.00690625
