epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4835.43,0.56706,0.31566,1.11388,0.99888,0.49947,0.57091,0.52658,2.24054,3.46197,2.45056,0.0078715,0.0078715,0.0078715
88,4886.95,0.55418,0.30587,1.10752,0.99881,0.49947,0.53586,0.49283,2.26922,3.48599,2.49451,0.00784675,0.00784675,0.00784675
89,4938.1,0.55065,0.30721,1.10809,0.99885,0.49947,0.62765,0.58347,2.2494,3.50016,2.48612,0.007822,0.007822,0.007822
90,4989.11,0.56282,0.30837,1.11032,0.99973,0.49947,0.62196,0.57424,2.16964,3.47075,2.41614,0.00779725,0.00779725,0.00779725
91,5040.88,0.5625,0.31257,1.11066,0.99968,0.49947,0.55416,0.50951,2.29514,3.49981,2.51167,0.0077725,0.0077725,0.0077725
92,5092.89,0.56487,0.30876,1.10928,0.99975,0.49947,0.52177,0.47912,2.05947,3.39636,2.33058,0.00774775,0.00774775,0.00774775
93,5145.59,0.5688,0.31118,1.11497,0.99984,0.49947,0.60932,0.56191,2.17282,3.482,2.43011,0.007723,0.007723,0.007723
94,5203.33,0.55641,0.30747,1.10717,0.99984,0.49947,0.53637,0.49181,2.03913,3.47918,2.31973,0.00769825,0.00769825,0.00769825
95,5260.44,0.55365,0.30497,1.10349,0.99888,0.49947,0.59387,0.54693,2.19334,3.53429,2.41122,0.0076735,0.0076735,0.0076735
96,5317.94,0.54969,0.29958,1.10783,0.99982,0.49947,0.53524,0.49447,2.06323,3.4486,2.36338,0.00764875,0.00764875,0.00764875
97,5375.06,0.55462,0.3087,1.10924,0.99983,0.49947,0.5396,0.49789,2.23514,3.49858,2.4576,0.007624,0.007624,0.007624
98,5432.82,0.55258,0.30513,1.10699,0.99988,0.49947,0.53054,0.48925,2.19857,3.36432,2.35815,0.00759925,0.00759925,0.00759925
99,5489.83,0.56314,0.30725,1.1161,0.99993,0.49947,0.54821,0.50829,2.11953,3.40241,2.35752,0.0075745,0.0075745,0.0075745
100,5547.38,0.54903,0.29798,1.09578,0.99987,0.49947,0.53987,0.49929,2.16666,3.4595,2.38822,0.00754975,0.00754975,0.00754975
101,5604.45,0.55233,0.30639,1.09596,0.99935,0.49947,0.53509,0.49421,2.23903,3.47683,2.47097,0.007525,0.007525,0.007525
102,5660.6,0.55201,0.29979,1.11221,0.99833,0.49947,0.56906,0.52567,2.14377,3.50039,2.44153,0.00750025,0.00750025,0.00750025
103,5717.65,0.55214,0.3042,1.10716,0.9988,0.49947,0.53465,0.49443,2.09717,3.51369,2.38002,0.0074755,0.0074755,0.0074755
104,5774.62,0.55448,0.30384,1.10217,0.99943,0.49894,0.62037,0.57397,2.25345,3.51786,2.45082,0.00745075,0.00745075,0.00745075
105,5830.86,0.55358,0.30346,1.10052,0.99965,0.49947,0.57388,0.53125,2.192,3.5513,2.45638,0.007426,0.007426,0.007426
106,5887.37,0.54642,0.29999,1.09147,0.99988,0.49947,0.56076,0.52167,2.10795,3.49427,2.34776,0.00740125,0.00740125,0.00740125
107,5944.77,0.54481,0.2986,1.0875,0.99991,0.49947,0.57704,0.53582,2.21977,3.48212,2.43328,0.0073765,0.0073765,0.0073765
108,6002.18,0.5456,0.29896,1.09555,0.99808,0.49947,0.70275,0.66018,2.19567,3.60066,2.41413,0.00735175,0.00735175,0.00735175
109,6060.07,0.55245,0.30486,1.09727,0.9999,0.49947,0.54803,0.50842,2.06473,3.5006,2.27654,0.007327,0.007327,0.007327
110,6117.52,0.54311,0.29901,1.09596,0.99989,0.49947,0.58715,0.54431,2.08253,3.61331,2.30999,0.00730225,0.00730225,0.00730225
111,6175.82,0.54587,0.29955,1.0975,0.99871,0.49947,0.55355,0.51277,2.30149,3.54448,2.49135,0.0072775,0.0072775,0.0072775
112,6233.04,0.55148,0.29901,1.09809,0.99988,0.49947,0.59133,0.54969,2.19845,3.49501,2.38212,0.00725275,0.00725275,0.00725275
113,6290.44,0.52944,0.28936,1.08626,0.99985,0.49947,0.58758,0.54498,2.13467,3.53134,2.3857,0.007228,0.007228,0.007228
114,6347.54,0.54941,0.29646,1.09994,0.99991,0.49947,0.52368,0.48469,2.12942,3.54217,2.33755,0.00720325,0.00720325,0.00720325
115,6404.08,0.53739,0.29149,1.08991,0.99759,0.49947,0.57858,0.53902,2.11572,3.46925,2.33388,0.0071785,0.0071785,0.0071785
116,6460.22,0.55305,0.3059,1.09792,0.99871,0.49947,0.59071,0.55167,2.2043,3.46719,2.40688,0.00715375,0.00715375,0.00715375
117,6516.51,0.54269,0.29461,1.08881,0.99881,0.49947,0.6185,0.58016,2.1206,3.57308,2.35786,0.007129,0.007129,0.007129
118,6573.2,0.53749,0.29476,1.09548,0.99965,0.49947,0.62721,0.58454,2.13579,3.54165,2.3787,0.00710425,0.00710425,0.00710425
119,6630.13,0.52749,0.29216,1.08328,0.99882,0.49947,0.6337,0.59463,2.16631,3.54583,2.37678,0.0070795,0.0070795,0.0070795
120,6687.75,0.54164,0.29287,1.08772,0.99871,0.49947,0.52805,0.48671,2.25694,3.53103,2.46442,0.00705475,0.00705475,0.00705475
121,6745.91,0.52822,0.28866,1.07586,0.99982,0.49947,0.55875,0.51908,2.275,3.53885,2.46287,0.00703,0.00703,0.00703
122,6803,0.54224,0.29163,1.10289,0.99865,0.49947,0.71494,0.67171,2.13623,3.54468,2.36241,0.00700525,0.00700525,0.00700525
123,6860.16,0.53268,0.29118,1.08322,0.99949,0.49947,0.63557,0.59515,2.18867,3.50622,2.39883,0.0069805,0.0069805,0.0069805
124,6916.97,0.53736,0.29284,1.07978,0.99985,0.49947,0.72484,0.68288,2.17764,3.57332,2.40664,0.00695575,0.00695575,0.00695575
125,6973.96,0.53558,0.28947,1.09046,0.99882,0.49947,0.6171,0.57671,2.15056,3.57125,2.39183,0.006931,0.006931,0.006931
126,7031.74,0.51597,0.2829,1.06869,0.99986,0.49947,0.58188,0.54385,2.13463,3.58299,2.38899,0.00690625,0.00690625,0.00690625
127,7088.01,0.52348,0.28584,1.07975,0.9999,0.49947,0.58888,0.54897,2.20803,3.58081,2.42321,0.0068815,0.0068815,0.0068815
128,7144.34,0.5177,0.28105,1.07171,0.99992,0.49947,0.58131,0.54151,2.19495,3.59816,2.43153,0.00685675,0.00685675,0.00685675
129,7199.81,0.52217,0.28259,1.07355,0.99971,0.49947,0.59191,0.55389,2.09315,3.54574,2.35445,0.006832,0.006832,0.006832
130,7248.99,0.5334,0.28379,1.08703,0.99988,0.49947,0.72331,0.68104,2.19215,3.57623,2.41136,0.00680725,0.00680725,0.00680725
131,7298.42,0.5235,0.28402,1.07479,0.99879,0.49947,0.62527,0.58744,2.17824,3.55612,2.39729,0.0067825,0.0067825,0.0067825
132,7348.14,0.52133,0.27987,1.07748,0.9999,0.49947,0.57006,0.53524,2.17841,3.57798,2.41995,0.00675775,0.00675775,0.00675775
133,7398.41,0.52153,0.28229,1.06866,0.99963,0.49947,0.54276,0.50629,2.1334,3.5903,2.36454,0.006733,0.006733,0.006733
134,7447.77,0.5235,0.28395,1.07411,0.99949,0.49947,0.61309,0.57364,2.19448,3.56982,2.40288,0.00670825,0.00670825,0.00670825
135,7498.51,0.51602,0.28209,1.07206,0.999,0.49947,0.58899,0.55279,2.17357,3.57709,2.37823,0.0066835,0.0066835,0.0066835
136,7553.53,0.52006,0.28166,1.07673,0.99979,0.49947,0.61309,0.57433,2.21208,3.54882,2.42589,0.00665875,0.00665875,0.00665875
137,7608.64,0.51477,0.28079,1.06586,0.9998,0.49947,0.59482,0.55704,2.15185,3.59469,2.4079,0.006634,0.006634,0.006634
138,7664.06,0.52566,0.28508,1.07878,0.99992,0.49947,0.65412,0.6157,2.18822,3.55394,2.42015,0.00660925,0.00660925,0.00660925
139,7720.19,0.51905,0.27898,1.0688,0.99988,0.49947,0.54178,0.50627,2.27771,3.60696,2.48951,0.0065845,0.0065845,0.0065845
140,7775.08,0.51132,0.27683,1.07008,0.99985,0.49947,0.52342,0.48513,2.17638,3.61893,2.4317,0.00655975,0.00655975,0.00655975
141,7830.83,0.51741,0.27989,1.07107,0.99992,0.49947,0.60015,0.56324,2.16738,3.54979,2.38979,0.006535,0.006535,0.006535
142,7886.4,0.51794,0.27593,1.07428,0.99982,0.49947,0.55851,0.52401,2.17678,3.52783,2.39897,0.00651025,0.00651025,0.00651025
143,7940.71,0.51282,0.27822,1.06035,0.99978,0.49947,0.64123,0.60427,2.16377,3.55393,2.41442,0.0064855,0.0064855,0.0064855
144,7991.48,0.51801,0.27947,1.07024,0.99981,0.49947,0.62943,0.59106,2.10271,3.47746,2.35315,0.00646075,0.00646075,0.00646075
145,8043.95,0.50325,0.27216,1.0632,0.99993,0.49947,0.70275,0.66259,2.13053,3.493,2.37764,0.006436,0.006436,0.006436
146,8096.43,0.51822,0.28155,1.07838,0.99888,0.49947,0.69136,0.65124,2.18641,3.55281,2.41266,0.00641125,0.00641125,0.00641125
147,8148.67,0.51539,0.27798,1.07077,0.99969,0.49947,0.61843,0.58005,2.03178,3.58199,2.2947,0.0063865,0.0063865,0.0063865
148,8200.65,0.52102,0.28276,1.0668,0.99988,0.49947,0.64266,0.60666,2.06123,3.51663,2.30053,0.00636175,0.00636175,0.00636175
149,8252.08,0.52038,0.28103,1.07564,0.9999,0.49947,0.60573,0.56975,2.06412,3.58741,2.34241,0.006337,0.006337,0.006337
150,8303.86,0.51143,0.27487,1.06783,0.99993,0.49947,0.69168,0.65521,2.04825,3.52812,2.31698,0.00631225,0.00631225,0.00631225
151,8353.24,0.50319,0.26913,1.06482,0.99992,0.49947,0.68635,0.64873,2.1834,3.55207,2.40193,0.0062875,0.0062875,0.0062875
152,8404.74,0.50915,0.27674,1.05996,0.99877,0.49947,0.55319,0.51804,2.18131,3.54589,2.39482,0.00626275,0.00626275,0.00626275
153,8454.97,0.50572,0.27414,1.06052,0.99992,0.49947,0.62203,0.58295,2.1919,3.58396,2.40517,0.006238,0.006238,0.006238
154,8505.57,0.51808,0.27571,1.06929,0.99965,0.49947,0.64601,0.61084,2.17197,3.57678,2.39789,0.00621325,0.00621325,0.00621325
155,8555.43,0.51478,0.27685,1.0681,0.99991,0.49947,0.6614,0.62462,2.18343,3.51453,2.37188,0.0061885,0.0061885,0.0061885
156,8609.06,0.50457,0.26964,1.05954,0.99948,0.49947,0.65551,0.6191,2.12321,3.54398,2.33572,0.00616375,0.00616375,0.00616375
157,8664.13,0.50203,0.27026,1.06373,0.99981,0.49947,0.65071,0.61623,2.13204,3.58001,2.35355,0.006139,0.006139,0.006139
158,8714.88,0.50726,0.27244,1.05965,0.99987,0.49947,0.62471,0.58807,2.05803,3.55174,2.31065,0.00611425,0.00611425,0.00611425
159,8769.49,0.50343,0.26895,1.05503,0.99992,0.49947,0.66977,0.63351,2.0562,3.60124,2.30581,0.0060895,0.0060895,0.0060895
160,8823.31,0.50744,0.27087,1.05859,0.99878,0.49947,0.68439,0.64758,2.15304,3.64223,2.40274,0.00606475,0.00606475,0.00606475
161,8872.48,0.50699,0.26837,1.05765,0.99992,0.49947,0.68712,0.65119,2.06913,3.617,2.32415,0.00604,0.00604,0.00604
162,8922.41,0.51122,0.27318,1.06796,0.99987,0.49947,0.67624,0.63914,2.07285,3.59489,2.32728,0.00601525,0.00601525,0.00601525
163,8973.8,0.50151,0.26812,1.05993,0.99881,0.49947,0.68469,0.64754,2.14686,3.66476,2.39219,0.0059905,0.0059905,0.0059905
164,9028.24,0.49419,0.26778,1.05853,0.99988,0.49947,0.62728,0.59286,2.11209,3.65772,2.37718,0.00596575,0.00596575,0.00596575
165,9081.69,0.5084,0.27199,1.06037,0.99988,0.49947,0.61711,0.57991,1.98463,3.69968,2.26998,0.005941,0.005941,0.005941
166,9131.6,0.50012,0.26963,1.05779,0.99979,0.49947,0.63072,0.59634,2.0084,3.68426,2.29381,0.00591625,0.00591625,0.00591625
167,9182.03,0.50268,0.26934,1.06031,0.99983,0.49947,0.67761,0.64264,2.06611,3.66152,2.33251,0.0058915,0.0058915,0.0058915
168,9232.99,0.4971,0.26819,1.05401,0.99991,0.49947,0.64212,0.60565,2.10214,3.60511,2.37118,0.00586675,0.00586675,0.00586675
169,9288.39,0.51006,0.27415,1.05832,0.99992,0.49947,0.65648,0.61993,2.14678,3.61428,2.38104,0.005842,0.005842,0.005842
170,9343.8,0.50782,0.27408,1.06288,0.99991,0.49947,0.65691,0.62094,2.13497,3.64189,2.35332,0.00581725,0.00581725,0.00581725
171,9394.45,0.49626,0.26794,1.0552,0.99992,0.49947,0.71334,0.67699,2.13238,3.66439,2.37589,0.0057925,0.0057925,0.0057925
172,9444.68,0.5019,0.26665,1.05731,0.99965,0.49947,0.70275,0.66678,2.06768,3.68371,2.33035,0.00576775,0.00576775,0.00576775
173,9494.46,0.50191,0.2703,1.05764,0.99892,0.49947,0.63165,0.59787,2.12534,3.68553,2.35827,0.005743,0.005743,0.005743
174,9544.72,0.48824,0.25986,1.04201,0.99967,0.49947,0.69647,0.66194,2.11058,3.73893,2.35945,0.00571825,0.00571825,0.00571825
175,9598.03,0.49355,0.26632,1.0495,0.99786,0.49947,0.66676,0.63269,2.10984,3.65993,2.34921,0.0056935,0.0056935,0.0056935
176,9652.53,0.49411,0.26178,1.04558,0.99971,0.49947,0.71698,0.68125,2.07073,3.68141,2.34908,0.00566875,0.00566875,0.00566875
177,9703.81,0.49657,0.2613,1.06405,0.99991,0.49947,0.64668,0.61179,2.01622,3.66014,2.27201,0.005644,0.005644,0.005644
178,9752.71,0.48947,0.25771,1.05221,0.99985,0.49947,0.67515,0.63965,2.05727,3.6405,2.31033,0.00561925,0.00561925,0.00561925
179,9801.61,0.50253,0.26629,1.06204,0.9999,0.49947,0.68087,0.64601,2.16149,3.65324,2.3918,0.0055945,0.0055945,0.0055945
180,9850.82,0.49611,0.26538,1.05291,0.99992,0.49947,0.60387,0.57013,2.16473,3.6875,2.38892,0.00556975,0.00556975,0.00556975
181,9900.54,0.49991,0.26833,1.0557,0.99991,0.49947,0.68424,0.65039,2.18489,3.68771,2.40315,0.005545,0.005545,0.005545
182,9950.21,0.49804,0.26519,1.05346,0.99984,0.49947,0.68514,0.65149,2.14384,3.68897,2.38455,0.00552025,0.00552025,0.00552025
